"experiment","game","treatment","metric","simulation_mean","mc_se","mc_lower","mc_upper","n_seeds","seed_sd","seed_p10","seed_p90","snapshot_mean"
"longer","threshold","MI","gini",0.0993471376728813,0.00224741127204592,0.0945568939383931,0.104137381407369,16,0.00898964508818368,0.08983502760835,0.10834233812,0.0993682786622875
"longer","threshold","MI","success",0.96510390625,0.00682893990357989,0.95054836539586,0.97965944710414,16,0.0273157596143196,0.9367125,0.99784375,0.965078125
"no_fairness","linear","FE","group_relative_contribution",0.595304720052062,0.0115859840368725,0.570609779641808,0.619999660462317,16,0.0463439361474899,0.5530888671875,0.6248954427085,0.594976399739563
"no_fairness","linear","FE","surplus",1.30967038411562,0.0254891648810791,1.25534151521315,1.3639992530181,16,0.101956659524317,1.21679550781,1.37476997396,1.30894807942688
"no_fairness","linear","FE","gini",0.0524102418940375,0.00145042301741906,0.0493187384126902,0.0555017453753848,16,0.00580169206967626,0.04552081511495,0.0578533024861,0.052581932909425
"no_fairness","linear","AI","group_relative_contribution",0.644577555338563,0.0147949174425344,0.613042935279078,0.676112175398047,16,0.0591796697701377,0.5933493489585,0.713115690104,0.641998697916688
"no_fairness","linear","AI","surplus",1.6374057389325,0.0389070275777332,1.55447737268286,1.72033410518214,16,0.155628110310933,1.50578294271,1.808123385415,1.63169303385438
"no_fairness","linear","AI","gini",0.0565368159110625,0.00258204850007614,0.0510333098089619,0.0620403220131631,16,0.0103281940003046,0.04409976096885,0.06558713244185,0.0566851028011375
"no_fairness","linear","MI","group_relative_contribution",0.543711686197875,0.0110196102374503,0.520223942965016,0.567199429430734,16,0.0440784409498012,0.513626106771,0.5716998697915,0.54376708984375
"no_fairness","linear","MI","surplus",1.0429233268225,0.0204313175908902,0.99937500422821,1.08647164941679,16,0.0817252703635608,0.98253078125,1.10386049479,1.04181542968787
"no_fairness","linear","MI","gini",0.0920629608381812,0.00238901948002546,0.0869708863531475,0.097155035323215,16,0.00955607792010183,0.0864237708216,0.0979842710079,0.091664333565725
"no_fairness","threshold","FE","group_relative_contribution",0.488858536783875,0.00197914387465806,0.484640091471638,0.493076982096112,16,0.00791657549863225,0.4794684895835,0.498375325521,0.486883951823
"no_fairness","threshold","FE","surplus",0.0496518798828062,0.00642028170664706,0.0359673733568076,0.0633363864088049,16,0.0256811268265882,0.0206517578125,0.07841373697915,0.0491837565104044
"no_fairness","threshold","FE","gini",0.1322464566515,0.00146838169835211,0.129116675147839,0.135376238155161,16,0.00587352679340843,0.125804143323,0.138637075852,0.1333591801865
"no_fairness","threshold","FE","success",0.6462125,0.0093123042485019,0.626363793341416,0.666061206658584,16,0.0372492169940076,0.6061375,0.6924875,0.64328125
"no_fairness","threshold","AI","group_relative_contribution",0.457871736653687,0.00178846654380546,0.454059710451644,0.46168376285573,16,0.00715386617522185,0.4490028645835,0.466230013021,0.460865885416625
"no_fairness","threshold","AI","surplus",0.00425196126302062,0.00429528308307316,-0.00490321791244625,0.0134071404384875,16,0.0171811323322926,-0.0160005859375,0.02651126302085,0.00436848958333125
"no_fairness","threshold","AI","gini",0.220065959781125,0.00201959518323114,0.215761294545612,0.224370625016638,16,0.00807838073292455,0.21017266716,0.2295620469545,0.21985877807675
"no_fairness","threshold","AI","success",0.5545484375,0.00591258532300575,0.541946060200196,0.567150814799804,16,0.023650341292023,0.52746875,0.57756875,0.55828125
"no_fairness","threshold","MI","group_relative_contribution",0.451448518880187,0.00287205591973395,0.445326876595248,0.457570161165127,16,0.0114882236789358,0.438852799479,0.4646789713545,0.456133626302
"no_fairness","threshold","MI","surplus",0.151809944661375,0.00862179307310256,0.1334330277338,0.17018686158895,16,0.0344871722924102,0.1210877604165,0.1931077473955,0.153697102864687
"no_fairness","threshold","MI","gini",0.211843586436062,0.00175931558208353,0.208093694038134,0.215593478833991,16,0.00703726232833412,0.203082848563,0.2197274595305,0.208721965443687
"no_fairness","threshold","MI","success",0.72391015625,0.00970214573149916,0.703230522139641,0.744589790360359,16,0.0388085829259966,0.68450625,0.77008125,0.731796875
